Pos,Name,CT,Amount [Copies],Target,SampleIDNum,Date,Location,Volume,DilutionFactor
A1,STANDARD,21.526,50000.00,E. Coli,St1,,,,1
A2,STANDARD,21.273,50000.00,E. Coli,St1,,,,1
B1,STANDARD,23.374,10000.00,E. Coli,St2,,,,1
B2,STANDARD,23.301,10000.00,E. Coli,St2,,,,1
C1,STANDARD,24.774,5000.00,E. Coli,St3,,,,1
C2,STANDARD,24.83,5000.00,E. Coli,St3,,,,1
D1,STANDARD,26.766,1000.00,E. Coli,St4,,,,1
D2,STANDARD,26.552,1000.00,E. Coli,St4,,,,1
E1,STANDARD,28.351,500.00,E. Coli,St5,,,,1
E2,STANDARD,28.168,500.00,E. Coli,St5,,,,1
F1,STANDARD,30.121,100.00,E. Coli,St6,,,,1
F2,STANDARD,30.213,100.00,E. Coli,St6,,,,1
G1,STANDARD,31.615,50.00,E. Coli,St7,,,,1
G2,STANDARD,31.687,50.00,E. Coli,St7,,,,1
H1,STANDARD,34.013,10.00,E. Coli,St8,,,,1
H2,STANDARD,33.911,10.00,E. Coli,St8,,,,1
A3,UNKNOWN,28.659,,E. Coli,126,12/15/18,1,530,1
A4,UNKNOWN,28.624,,E. Coli,126,12/15/18,1,530,1
A5,UNKNOWN,32.15,,E. Coli,126,12/15/18,1,530,10
A6,UNKNOWN,29.7,,E. Coli,134,12/15/18,9,500,1
A7,UNKNOWN,30.231,,E. Coli,134,12/15/18,9,500,1
A8,UNKNOWN,33.384,,E. Coli,134,12/15/18,9,500,10
A9,UNKNOWN,28.571,,E. Coli,166,1/26/19,5,370,1
A10,UNKNOWN,28.587,,E. Coli,166,1/26/19,5,370,1
A11,UNKNOWN,32.068,,E. Coli,166,1/26/19,5,370,10
B3,UNKNOWN,32.044,,E. Coli,127,12/15/18,2,475,1
B4,UNKNOWN,32.399,,E. Coli,127,12/15/18,2,475,1
B5,UNKNOWN,35.924,,E. Coli,127,12/15/18,2,475,10
B6,UNKNOWN,32.271,,E. Coli,135,12/15/18,10,455,1
B7,UNKNOWN,32.323,,E. Coli,135,12/15/18,10,455,1
B8,UNKNOWN,34.787,,E. Coli,135,12/15/18,10,455,10
B9,UNKNOWN,29.753,,E. Coli,167,1/26/19,6,225,1
B10,UNKNOWN,29.811,,E. Coli,167,1/26/19,6,225,1
B11,UNKNOWN,33.281,,E. Coli,167,1/26/19,6,225,10
C3,UNKNOWN,34.119,,E. Coli,128,12/15/18,3,430,1
C4,UNKNOWN,33.751,,E. Coli,128,12/15/18,3,430,1
C5,UNKNOWN,36.765,,E. Coli,128,12/15/18,3,430,10
